Country,PreferredFoot,PlayerAmount
Afghanistan, Right,1
Albania, Left,10
Albania, Right,39
Algeria, Left,18
Algeria, Right,35
Andorra, Right,1
Angola, Left,4
Angola, Right,13
Antigua and Barbuda, Left,1
Antigua and Barbuda, Right,2
Argentina, Left,225
Argentina, Right,730
Armenia, Right,7
Australia, Left,62
Australia, Right,204
Austria, Left,80
Austria, Right,239
Azerbaijan, Left,2
Azerbaijan, Right,6
Barbados, Right,1
Belarus, Left,1
Belarus, Right,3
Belgium, Left,78
Belgium, Right,235
Belize, Left,1
Benin, Left,1
Benin, Right,9
Bermuda, Right,1
Bhutan, Right,1
Bolivia, Left,38
Bolivia, Right,113
Bosnia and Herzegovina, Left,17
Bosnia and Herzegovina, Right,53
Brazil, Left,260
Brazil, Right,653
Bulgaria, Left,5
Bulgaria, Right,20
Burkina Faso, Left,3
Burkina Faso, Right,13
Burundi, Left,1
Burundi, Right,8
Côte d'Ivoire, Left,27
Côte d'Ivoire, Right,84
Cameroon, Left,17
Cameroon, Right,49
Canada, Left,22
Canada, Right,53
Cape Verde Islands, Left,1
Cape Verde Islands, Right,21
Central African Republic, Left,1
Central African Republic, Right,2
Chad, Right,2
Chile, Left,40
Chile, Right,122
China PR, Left,46
China PR, Right,331
Chinese Taipei, Right,2
Colombia, Left,65
Colombia, Right,257
Comoros, Left,4
Comoros, Right,4
Congo, Left,3
Congo, Right,12
Congo DR, Left,14
Congo DR, Right,41
Costa Rica, Left,10
Costa Rica, Right,13
Croatia, Left,47
Croatia, Right,111
Cuba, Left,1
Cuba, Right,2
Curacao, Left,1
Curacao, Right,10
Cyprus, Left,5
Cyprus, Right,18
Czech Republic, Left,22
Czech Republic, Right,83
Denmark, Left,77
Denmark, Right,229
Dominican Republic, Right,4
Ecuador, Left,42
Ecuador, Right,138
Egypt, Left,2
Egypt, Right,9
El Salvador, Right,4
England, Left,434
England, Right,1284
Equatorial Guinea, Left,1
Equatorial Guinea, Right,3
Eritrea, Right,1
Estonia, Right,2
Ethiopia, Right,1
Faroe Islands, Left,2
Faroe Islands, Right,1
Fiji, Right,1
Finland, Left,16
Finland, Right,47
France, Left,261
France, Right,726
Gabon, Left,3
Gabon, Right,9
Gambia, Left,9
Gambia, Right,18
Georgia, Left,7
Georgia, Right,19
Germany, Left,265
Germany, Right,949
Ghana, Left,30
Ghana, Right,98
Gibraltar, Right,1
Greece, Left,24
Greece, Right,69
Grenada, Left,2
Grenada, Right,4
Guam, Right,1
Guatemala, Left,1
Guatemala, Right,1
Guinea, Left,6
Guinea, Right,27
Guinea Bissau, Left,4
Guinea Bissau, Right,19
Guyana, Left,1
Guyana, Right,6
Haiti, Right,10
Honduras, Left,4
Honduras, Right,8
Hong Kong, Right,2
Hungary, Left,9
Hungary, Right,39
Iceland, Left,15
Iceland, Right,43
India, Left,41
India, Right,172
Indonesia, Right,1
Iran, Left,4
Iran, Right,17
Iraq, Right,4
Israel, Left,2
Israel, Right,21
Italy, Left,87
Italy, Right,252
Jamaica, Left,11
Jamaica, Right,26
Japan, Left,98
Japan, Right,446
Jordan, Left,1
Jordan, Right,2
Kazakhstan, Left,1
Kazakhstan, Right,2
Kenya, Left,2
Kenya, Right,5
Korea DPR, Right,1
Korea Republic, Left,58
Korea Republic, Right,265
Kosovo, Left,11
Kosovo, Right,35
Kyrgyzstan, Right,1
Latvia, Left,1
Latvia, Right,6
Lebanon, Left,1
Lebanon, Right,1
Liberia, Left,3
Liberia, Right,3
Libya, Left,1
Libya, Right,2
Lithuania, Right,8
Luxembourg, Left,5
Luxembourg, Right,11
Madagascar, Left,3
Madagascar, Right,5
Malawi, Right,1
Malaysia, Right,2
Mali, Left,15
Mali, Right,44
