Country,Year,Goals
Netherlands,2019,116
Netherlands,2020,216
Brazil,2016,217
Brazil,2017,220
Brazil,2018,200
Brazil,2019,237
Brazil,2020,159
England,2016,328
England,2018,309
England,2019,324
England,2020,117
France,2018,282
France,2019,219
France,2020,103
Germany,2016,285
Germany,2017,251
Germany,2018,293
Germany,2019,282
Germany,2020,107
Italy,2016,349
Italy,2017,297
Italy,2018,297
Italy,2019,334
Italy,2020,105
Portugal ,2019,298
Spain,2016,310
Spain,2017,334
Spain,2018,321
Spain,2019,265
Spain,2020,84
USA,2019,323
USA,2020,196
